0,0,0
1,1,1
2,7,2
3,8,0
4,11,1
5,12,0
6,13,1
7,14,359
8,15,0
9,16,359
10,17,0
11,18,359
12,19,0
13,22,358
14,23,359
15,25,0
16,26,359
17,29,0
18,30,358
19,32,357
20,33,358
21,35,359
22,36,357
23,39,358
24,40,357
25,41,358
26,42,357
27,43,358
28,44,356
29,45,357
30,46,355
31,47,356
32,49,357
33,50,355
34,53,356
35,54,355
36,56,353
37,57,354
38,60,353
39,61,354
40,64,352
41,65,353
42,67,354
43,68,353
44,70,351
45,73,352
46,74,351
47,77,352
48,78,350
49,79,351
50,82,350
51,83,351
52,86,349
53,88,348
54,89,349
55,92,347
56,93,348
57,96,347
58,97,348
59,99,346
60,101,347
61,102,345
62,103,346
63,106,345
64,109,346
65,110,344
66,111,345
67,112,342
68,113,343
69,116,342
70,117,343
71,120,341
72,121,342
73,124,341
74,125,342
75,128,341
76,129,342
77,130,341
78,131,342
79,132,341
80,133,342
81,135,343
82,136,340
83,137,341
84,139,342
85,140,341
86,142,340
87,145,341
88,146,340
89,147,341
90,150,339
91,151,340
92,154,339
93,155,340
94,157,341
95,158,338
96,159,339
97,160,338
98,161,339
99,164,337
100,165,338
101,167,339
102,168,338
103,171,339
104,172,336
105,173,337
106,174,336
107,175,337
108,178,335
109,179,336
110,182,335
111,183,336
112,184,334
113,187,335
114,188,334
115,191,335
116,192,333
117,193,334
118,194,333
119,195,334
120,196,333
121,197,334
122,198,331
123,199,332
124,188,333
125,189,334
126,192,332
127,193,333
128,198,331
129,384,331
